sasdate_t,sasdate_tp1,lambda_R1_SPY,lambda_R1_XLB,lambda_R1_XLE,lambda_R1_XLF,lambda_R1_XLI,lambda_R1_XLK,lambda_R1_XLP,lambda_R1_XLU,lambda_R1_XLV,lambda_R1_XLY,lambda_R2_SPY,lambda_R2_XLB,lambda_R2_XLE,lambda_R2_XLF,lambda_R2_XLI,lambda_R2_XLK,lambda_R2_XLP,lambda_R2_XLU,lambda_R2_XLV,lambda_R2_XLY,lambda_R3_SPY,lambda_R3_XLB,lambda_R3_XLE,lambda_R3_XLF,lambda_R3_XLI,lambda_R3_XLK,lambda_R3_XLP,lambda_R3_XLU,lambda_R3_XLV,lambda_R3_XLY,lambda_R4_SPY,lambda_R4_XLB,lambda_R4_XLE,lambda_R4_XLF,lambda_R4_XLI,lambda_R4_XLK,lambda_R4_XLP,lambda_R4_XLU,lambda_R4_XLV,lambda_R4_XLY,lambda_R5_SPY,lambda_R5_XLB,lambda_R5_XLE,lambda_R5_XLF,lambda_R5_XLI,lambda_R5_XLK,lambda_R5_XLP,lambda_R5_XLU,lambda_R5_XLV,lambda_R5_XLY
2002-11-01,2002-12-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
2002-12-01,2003-01-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2003-01-01,2003-02-01,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2003-02-01,2003-03-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
2003-03-01,2003-04-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
2003-04-01,2003-05-01,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2003-05-01,2003-06-01,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2003-06-01,2003-07-01,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2003-07-01,2003-08-01,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
2003-08-01,2003-09-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
